,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,zipcode,lat,long,sqft_lot15,geo_loc,distance
42,861990.0,5,2.75,3595,5639,2.0,0.0,0.0,3,9,2014,98053,47.685,-122.016,5639,"(47.685, -122.016)",16.2211
43,685000.0,3,1.0,1570,2280,2.0,0.0,0.0,3,7,1922,98119,47.641,-122.364,2640,"(47.641, -122.364)",1.4386
44,309000.0,3,1.0,1280,9656,1.0,0.0,0.0,4,6,1959,98058,47.449,-122.175,8808,"(47.449, -122.175)",14.5139
46,210490.0,3,1.0,990,8528,1.0,0.0,0.0,3,6,1966,98023,47.307,-122.371,8840,"(47.307, -122.371)",21.7762
47,785000.0,4,2.5,2290,13416,2.0,0.0,0.0,4,9,1981,98007,47.619,-122.151,13685,"(47.619, -122.151)",9.3491
48,450000.0,3,1.75,1250,5963,1.0,0.0,0.0,4,7,1953,98115,47.68,-122.301,5100,"(47.68, -122.301)",4.6566
49,1350000.0,3,2.5,2753,65005,1.0,1.0,2.0,5,9,1953,98070,47.404,-122.451,72513,"(47.404, -122.451)",15.7525
50,228000.0,3,1.0,1190,9199,1.0,0.0,0.0,3,7,1955,98148,47.426,-122.322,9364,"(47.426, -122.322)",13.6061
51,345000.0,5,2.5,3150,9134,1.0,0.0,0.0,4,8,1966,98056,47.493,-122.189,9133,"(47.493, -122.189)",11.6992
53,585000.0,2,1.75,1980,8550,1.0,0.0,0.0,3,7,1981,98117,47.699,-122.369,6738,"(47.699, -122.369)",5.3876
54,920000.0,5,2.25,2730,6000,1.5,0.0,0.0,3,8,1927,98105,47.657,-122.281,6000,"(47.657, -122.281)",4.0884
57,301000.0,3,2.5,2420,4750,2.0,0.0,0.0,3,8,2003,98042,47.366,-122.122,4750,"(47.366, -122.122)",20.6787
59,430000.0,4,3.0,1850,9976,2.0,0.0,0.0,3,8,1991,98059,47.506,-122.149,8542,"(47.506, -122.149)",12.3869
61,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,1954,98148,47.437,-122.335,8750,"(47.437, -122.335)",12.7991
63,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,2014,98115,47.676,-122.32,3090,"(47.676, -122.32)",4.0186
64,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,1979,98122,47.611,-122.297,4080,"(47.611, -122.297)",2.6566
65,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,1925,98144,47.575,-122.304,4000,"(47.575, -122.304)",3.9293
67,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,2005,98001,47.338,-122.257,4557,"(47.338, -122.257)",20.1079
69,1330000.0,5,2.25,3200,20158,1.0,0.0,0.0,3,8,1965,98004,47.63,-122.215,20158,"(47.63, -122.215)",6.3902
70,1040000.0,5,3.25,4770,50094,1.0,0.0,0.0,4,11,1973,98005,47.653,-122.16,38917,"(47.653, -122.16)",9.1799
71,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,1972,98034,47.736,-122.179,4745,"(47.736, -122.179)",11.2559
72,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,1916,98125,47.717,-122.287,7807,"(47.717, -122.287)",7.2275
74,349000.0,3,1.75,1790,50529,1.0,0.0,0.0,5,7,1965,98042,47.351,-122.073,50529,"(47.351, -122.073)",22.7963
75,832500.0,4,4.0,3430,35102,2.0,0.0,0.0,4,10,1986,98075,47.582,-121.987,35020,"(47.582, -121.987)",17.2129
78,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,1956,98133,47.707,-122.34,5693,"(47.707, -122.34)",5.905
79,720000.0,4,2.5,3450,39683,2.0,0.0,0.0,3,10,2002,98010,47.342,-122.025,39750,"(47.342, -122.025)",24.6318
80,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,2003,98038,47.351,-122.008,5363,"(47.351, -122.008)",24.6549
81,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,1992,98038,47.349,-122.031,6405,"(47.349, -122.031)",24.0781
82,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,1948,98118,47.547,-122.291,6720,"(47.547, -122.291)",5.8978
83,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,1964,98059,47.481,-122.149,8797,"(47.481, -122.149)",13.5693
84,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,1952,98125,47.726,-122.31,7203,"(47.726, -122.31)",7.4497
85,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,1925,98119,47.634,-122.365,4800,"(47.634, -122.365)",1.0404
86,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,1961,98092,47.291,-122.189,8165,"(47.291, -122.189)",24.0934
90,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,1988,98023,47.29,-122.372,7510,"(47.29, -122.372)",22.9517
91,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,2001,98199,47.651,-122.391,6250,"(47.651, -122.391)",2.7185
92,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,3,7,1962,98023,47.322,-122.351,10500,"(47.322, -122.351)",20.7211
93,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1939,98117,47.687,-122.386,4500,"(47.687, -122.386)",4.7729
94,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,1939,98117,47.687,-122.386,4500,"(47.687, -122.386)",4.7729
95,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,3,7,1946,98040,47.587,-122.249,6045,"(47.587, -122.249)",5.3577
96,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,3,7,1967,98032,47.358,-122.277,15616,"(47.358, -122.277)",18.5643
97,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,1975,98023,47.304,-122.378,6400,"(47.304, -122.378)",21.9991
98,314000.0,3,1.75,1810,41800,1.0,0.0,0.0,5,7,1980,98038,47.411,-121.958,135036,"(47.411, -121.958)",23.449
99,437500.0,3,2.5,2320,36847,2.0,0.0,2.0,3,9,1992,98045,47.484,-121.714,35065,"(47.484, -121.714)",31.2261
100,850830.0,3,2.5,2070,13241,1.5,0.0,0.0,5,9,1910,98102,47.642,-122.315,4500,"(47.642, -122.315)",2.202
101,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,4,7,1929,98117,47.678,-122.372,3478,"(47.678, -122.372)",3.9896
102,699950.0,3,2.25,2190,107593,2.0,0.0,0.0,4,8,1983,98077,47.773,-122.08,47777,"(47.773, -122.08)",16.39
103,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,3,8,1950,98004,47.581,-122.196,8113,"(47.581, -122.196)",7.7849
104,290000.0,3,1.0,1210,33919,1.0,0.0,0.0,3,7,1954,98058,47.438,-122.184,14910,"(47.438, -122.184)",14.9217
106,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,4,7,1939,98117,47.688,-122.38,4005,"(47.688, -122.38)",4.7532
107,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,1985,98198,47.381,-122.322,4966,"(47.381, -122.322)",16.7022
108,680000.0,4,2.5,3140,28037,2.0,0.0,0.0,4,10,1991,98077,47.73,-122.082,35001,"(47.73, -122.082)",14.6018
109,470000.0,5,1.75,2030,12342,2.0,0.0,0.0,4,7,1942,98052,47.642,-122.109,9433,"(47.642, -122.109)",11.3855
111,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,5,6,1905,98103,47.682,-122.349,3536,"(47.682, -122.349)",4.1544
112,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,4,7,1980,98038,47.362,-122.031,11656,"(47.362, -122.031)",23.3802
113,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,1971,98108,47.547,-122.295,5500,"(47.547, -122.295)",5.8107
116,518500.0,3,3.5,1590,1102,3.0,0.0,0.0,3,8,2010,98103,47.682,-122.347,3166,"(47.682, -122.347)",4.1583
117,205425.0,2,1.0,880,6780,1.0,0.0,0.0,4,6,1945,98178,47.501,-122.248,6780,"(47.501, -122.248)",9.6517
119,535000.0,4,1.0,1610,2982,1.5,0.0,0.0,4,7,1925,98144,47.587,-122.294,4040,"(47.587, -122.294)",3.6111
120,660000.0,3,2.5,2400,6474,1.0,0.0,2.0,3,8,1964,98177,47.773,-122.386,10856,"(47.773, -122.386)",10.5612
122,395000.0,2,1.0,770,6000,1.0,0.0,0.0,3,6,1953,98117,47.7,-122.364,6000,"(47.7, -122.364)",5.4265
124,770000.0,3,2.25,2910,10204,2.0,0.0,0.0,3,9,1990,98052,47.69,-122.098,13992,"(47.69, -122.098)",12.7102
125,1450000.0,4,2.75,2750,17789,1.5,0.0,0.0,3,8,1914,98004,47.614,-122.212,11275,"(47.614, -122.212)",6.5292
130,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,4,7,1986,98092,47.276,-122.152,7680,"(47.276, -122.152)",25.6563
131,660500.0,4,2.25,2010,9603,1.0,0.0,0.0,3,8,1986,98027,47.534,-122.054,9793,"(47.534, -122.054)",15.1466
132,784000.0,3,3.5,3950,111078,1.5,0.0,0.0,3,9,1989,98052,47.697,-122.072,88500,"(47.697, -122.072)",14.0125
133,453246.0,3,2.5,2010,2287,2.0,0.0,0.0,3,8,2014,98029,47.552,-121.998,1662,"(47.552, -121.998)",17.1759
134,675000.0,4,3.5,2140,2278,3.0,0.0,0.0,3,9,2005,98107,47.673,-122.38,2285,"(47.673, -122.38)",3.7684
136,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,3,7,1968,98003,47.331,-122.299,8140,"(47.331, -122.299)",20.2494
138,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,3,6,1981,98125,47.714,-122.287,5715,"(47.714, -122.287)",7.0397
140,665000.0,2,1.0,1110,3200,1.0,0.0,0.0,3,7,1925,98119,47.634,-122.358,3600,"(47.634, -122.358)",0.886
142,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,4,7,1962,98058,47.456,-122.171,8579,"(47.456, -122.171)",14.2279
144,500000.0,4,2.25,2030,8517,1.0,0.0,0.0,4,8,1961,98006,47.55,-122.174,8824,"(47.55, -122.174)",9.657
145,921500.0,4,2.5,3670,315374,2.0,0.0,0.0,4,9,1994,98077,47.742,-122.026,87991,"(47.742, -122.026)",17.2742
146,890000.0,4,1.0,2550,4000,2.0,0.0,0.0,3,8,1905,98109,47.635,-122.353,4000,"(47.635, -122.353)",0.9071
147,430000.0,2,2.5,2420,60984,2.0,0.0,0.0,3,7,2007,98027,47.526,-121.943,193842,"(47.526, -121.943)",20.1701
148,258000.0,5,2.0,2260,12500,1.0,0.0,0.0,4,8,1960,98032,47.389,-122.286,18000,"(47.389, -122.286)",16.3814
149,511000.0,3,1.0,1430,3455,1.0,0.0,0.0,3,7,1947,98103,47.687,-122.336,4599,"(47.687, -122.336)",4.5569
150,532170.0,3,2.0,1360,3090,2.0,0.0,0.0,3,8,1990,98103,47.684,-122.353,3090,"(47.684, -122.353)",4.2911
151,560000.0,3,1.0,1110,5000,1.5,0.0,0.0,3,7,1947,98107,47.655,-122.359,5000,"(47.655, -122.359)",2.3121
154,350000.0,1,1.0,700,5100,1.0,0.0,0.0,3,7,1942,98115,47.679,-122.3,5100,"(47.679, -122.3)",4.6212
155,215000.0,3,1.0,1180,7669,1.0,0.0,0.0,4,7,1967,98058,47.448,-122.176,7669,"(47.448, -122.176)",14.5445
156,650000.0,5,3.5,3960,25245,2.0,0.0,0.0,3,9,1996,98056,47.525,-122.172,13675,"(47.525, -122.172)",10.7233
157,320000.0,4,2.75,2640,7500,1.0,0.0,0.0,3,8,1967,98023,47.313,-122.369,7875,"(47.313, -122.369)",21.3582
158,247000.0,3,2.0,1270,7198,1.5,0.0,0.0,3,7,1916,98022,47.209,-121.996,7198,"(47.209, -121.996)",33.0219
159,320000.0,4,1.75,1760,11180,1.0,0.0,0.0,4,8,1968,98059,47.471,-122.118,11180,"(47.471, -122.118)",15.083
160,255000.0,5,2.25,2060,8632,1.0,0.0,0.0,3,7,1962,98146,47.488,-122.335,11680,"(47.488, -122.335)",9.2843
161,438000.0,3,1.75,1780,9660,1.0,0.0,0.0,3,7,1962,98034,47.717,-122.193,9660,"(47.717, -122.193)",9.8843
162,900000.0,3,2.5,3400,16603,2.0,0.0,0.0,3,10,2000,98075,47.601,-122.023,12601,"(47.601, -122.023)",15.3787
163,441000.0,3,2.75,1910,7280,1.0,0.0,0.0,3,7,1979,98034,47.732,-122.224,8152,"(47.732, -122.224)",9.652
164,420000.0,3,2.0,2020,38332,1.0,0.0,0.0,4,7,1975,98027,47.458,-122.023,36590,"(47.458, -122.023)",19.0605
165,370000.0,3,1.75,1580,7000,1.0,0.0,0.0,3,7,1976,98034,47.721,-122.168,7500,"(47.721, -122.168)",10.9514
166,269950.0,2,1.75,1340,7250,1.0,0.0,0.0,5,5,1949,98198,47.408,-122.327,9750,"(47.408, -122.327)",14.824
167,807100.0,4,2.5,2680,4499,2.0,0.0,0.0,3,9,1999,98006,47.565,-122.125,4500,"(47.565, -122.125)",11.2711
168,653000.0,3,2.5,2680,9750,1.0,0.0,0.0,4,8,1979,98034,47.703,-122.231,8750,"(47.703, -122.231)",7.9339
170,284000.0,3,1.75,1560,21000,1.0,0.0,0.0,3,7,1954,98166,47.478,-122.337,7920,"(47.478, -122.337)",9.9661
173,917500.0,4,2.5,3880,35003,2.0,0.0,0.0,3,10,1984,98033,47.648,-122.182,35230,"(47.648, -122.182)",8.1042
174,673000.0,4,2.25,2590,8190,2.0,0.0,0.0,4,8,1980,98006,47.562,-122.125,8335,"(47.562, -122.125)",11.3454
175,425000.0,3,2.5,1120,1100,2.0,0.0,0.0,3,8,2008,98122,47.611,-122.31,1795,"(47.611, -122.31)",2.0831
176,399950.0,5,2.75,1970,5400,1.0,0.0,0.0,3,7,1986,98144,47.587,-122.308,2150,"(47.587, -122.308)",3.1558
178,269950.0,3,1.5,1950,7560,1.0,0.0,2.0,4,7,1975,98022,47.198,-121.999,8941,"(47.198, -121.999)",33.6125
180,260000.0,3,2.5,1670,5797,2.0,0.0,0.0,3,7,1988,98030,47.35,-122.179,6183,"(47.35, -122.179)",20.4439
181,470000.0,4,3.0,2380,5125,1.5,0.0,0.0,4,7,1925,98126,47.538,-122.376,5375,"(47.538, -122.376)",5.9065
183,163500.0,2,1.5,1050,3419,2.0,0.0,0.0,3,7,1996,98038,47.385,-122.039,3417,"(47.385, -122.039)",21.9305
184,835000.0,4,2.75,3130,13412,2.0,0.0,0.0,3,9,1993,98052,47.699,-122.102,9984,"(47.699, -122.102)",12.7829
185,1100000.0,5,3.0,4090,12850,1.0,0.0,2.0,4,10,1986,98033,47.663,-122.188,10270,"(47.663, -122.188)",8.1325
186,269000.0,4,1.75,1490,10000,1.0,0.0,0.0,4,8,1969,98023,47.31,-122.379,8910,"(47.31, -122.379)",21.5879
189,585188.0,3,2.25,2230,10026,1.0,0.0,0.0,3,8,1975,98052,47.665,-122.153,9340,"(47.665, -122.153)",9.7173
191,166950.0,3,1.0,1190,8820,1.0,0.0,0.0,3,6,1959,98058,47.462,-122.184,7980,"(47.462, -122.184)",13.5366
192,799000.0,3,2.5,2140,9897,1.0,0.0,0.0,4,8,1959,98040,47.55,-122.219,10083,"(47.55, -122.219)",7.9324
193,400000.0,3,2.5,2180,7508,1.0,0.0,0.0,4,7,1962,98133,47.761,-122.336,7818,"(47.761, -122.336)",9.6386
194,230000.0,3,1.0,1060,10228,1.0,0.0,0.0,3,7,1948,98155,47.748,-122.3,10228,"(47.748, -122.3)",9.0385
195,256883.0,3,2.5,1690,5025,2.0,0.0,0.0,3,8,2003,98023,47.278,-122.347,5001,"(47.278, -122.347)",23.7622
196,423000.0,4,2.0,1970,6480,1.5,0.0,0.0,5,7,1920,98108,47.551,-122.312,6480,"(47.551, -122.312)",5.2364
198,440000.0,3,2.5,1910,66211,2.0,0.0,0.0,3,7,1997,98024,47.538,-121.911,67268,"(47.538, -121.911)",21.3423
199,385000.0,3,1.75,1350,155073,1.0,0.0,0.0,4,7,1969,98038,47.406,-121.994,50965,"(47.406, -121.994)",22.3867
201,297000.0,3,2.5,1940,14952,2.0,0.0,0.0,3,8,1994,98042,47.378,-122.165,10450,"(47.378, -122.165)",18.972
202,470000.0,3,1.0,1010,5000,1.0,0.0,0.0,3,7,1952,98107,47.675,-122.394,5000,"(47.675, -122.394)",4.1638
203,226500.0,3,1.5,1300,7370,1.0,0.0,0.0,4,7,1976,98023,47.303,-122.37,7500,"(47.303, -122.37)",22.0505
204,274250.0,3,1.0,910,8450,1.0,0.0,0.0,4,6,1962,98059,47.479,-122.158,8040,"(47.479, -122.158)",13.3821
206,677900.0,3,2.5,2440,4587,2.0,0.0,0.0,3,8,2010,98052,47.707,-122.114,4587,"(47.707, -122.114)",12.5265
208,180250.0,2,0.75,900,9600,1.0,0.0,0.0,3,6,1941,98166,47.46,-122.339,14280,"(47.46, -122.339)",11.2019
209,464000.0,6,3.0,2300,3404,2.0,0.0,0.0,3,7,1920,98133,47.707,-122.343,1312,"(47.707, -122.343)",5.8938
211,625504.0,3,2.25,1270,1566,2.0,0.0,0.0,3,8,2014,98105,47.665,-122.284,1327,"(47.665, -122.284)",4.3359
212,592500.0,4,2.5,2240,12032,1.0,0.0,0.0,3,9,1983,98074,47.614,-122.017,12368,"(47.614, -122.017)",15.5978
213,465000.0,3,2.5,2714,17936,2.0,0.0,0.0,3,9,2005,98001,47.319,-122.275,18386,"(47.319, -122.275)",21.2328
214,477000.0,4,2.75,1720,6270,2.0,0.0,0.0,3,8,1978,98118,47.546,-122.268,8700,"(47.546, -122.268)",6.5359
215,280000.0,2,1.0,850,16400,1.0,0.0,0.0,3,6,1923,98168,47.489,-122.299,14459,"(47.489, -122.299)",9.5056
217,445838.0,3,2.5,2250,5692,2.0,0.0,0.0,3,8,2000,98146,47.513,-122.379,5390,"(47.513, -122.379)",7.6311
218,1070000.0,2,2.25,3900,14864,1.0,0.0,3.0,3,8,1947,98144,47.588,-122.291,5184,"(47.588, -122.291)",3.6718
219,467000.0,2,1.5,1320,10800,1.0,0.0,0.0,4,8,1947,98177,47.715,-122.367,12040,"(47.715, -122.367)",6.4719
220,686000.0,4,2.5,2760,6440,2.0,0.0,0.0,3,10,1999,98075,47.584,-122.026,8127,"(47.584, -122.026)",15.3978
221,279950.0,3,2.0,1750,9750,1.0,0.0,0.0,3,7,1961,98198,47.398,-122.299,10125,"(47.398, -122.299)",15.6643
222,527000.0,4,2.25,2330,19436,2.0,0.0,0.0,3,8,1987,98011,47.766,-122.215,10055,"(47.766, -122.215)",11.8129
223,325000.0,3,2.25,2220,16020,1.0,0.0,0.0,4,8,1966,98030,47.376,-122.217,9583,"(47.376, -122.217)",18.1162
224,328000.0,3,2.25,2020,8379,2.0,0.0,0.0,3,7,1994,98038,47.383,-122.023,8031,"(47.383, -122.023)",22.5357
228,235000.0,3,1.0,1430,15246,1.0,0.0,0.0,4,7,1961,98031,47.407,-122.214,13068,"(47.407, -122.214)",16.179
229,516500.0,3,2.5,1480,4729,2.0,0.0,0.0,3,7,2004,98053,47.679,-122.034,4729,"(47.679, -122.034)",15.3046
230,655000.0,2,1.75,1450,15798,2.0,1.0,4.0,3,7,1915,98166,47.45,-122.375,13193,"(47.45, -122.375)",11.9268
231,500000.0,4,2.75,2280,15347,1.0,0.0,0.0,5,7,1960,98059,47.522,-122.164,15347,"(47.522, -122.164)",11.1445
232,315000.0,6,2.75,2940,7350,1.0,0.0,0.0,3,8,1978,98023,47.31,-122.339,8236,"(47.31, -122.339)",21.5584
233,213000.0,2,1.0,1000,10200,1.0,0.0,0.0,3,6,1961,98024,47.569,-121.899,13702,"(47.569, -121.899)",21.4074
235,1030000.0,5,4.0,3760,28040,2.0,0.0,0.0,3,10,1983,98033,47.649,-122.183,35096,"(47.649, -122.183)",8.0745
236,416000.0,3,2.0,2220,94300,1.0,0.0,0.0,5,7,1976,98010,47.346,-121.95,80100,"(47.346, -121.95)",26.7432
237,410000.0,4,1.0,1970,4740,1.5,0.0,0.0,3,7,1904,98122,47.614,-122.303,4740,"(47.614, -122.303)",2.3329
238,800000.0,3,3.5,3830,221284,2.0,0.0,0.0,3,10,1993,98077,47.764,-122.023,148539,"(47.764, -122.023)",18.1682
239,472000.0,6,2.5,4410,14034,1.0,0.0,2.0,4,9,1965,98003,47.338,-122.324,13988,"(47.338, -122.324)",19.6582
240,225000.0,3,1.75,1430,8505,1.0,0.0,0.0,4,7,1968,98003,47.317,-122.319,8640,"(47.317, -122.319)",21.1219
241,210000.0,2,1.0,830,6000,1.0,0.0,0.0,3,6,1940,98126,47.531,-122.376,4960,"(47.531, -122.376)",6.3819
242,455000.0,2,1.0,1430,5000,1.5,0.0,0.0,2,7,1925,98115,47.673,-122.299,3750,"(47.673, -122.299)",4.2992
243,225000.0,3,1.0,1300,8316,1.0,0.0,0.0,4,6,1954,98002,47.322,-122.216,8316,"(47.322, -122.216)",21.6687
244,480000.0,2,1.0,1030,3060,1.0,0.0,2.0,4,7,1918,98103,47.678,-122.353,3060,"(47.678, -122.353)",3.8766
245,363000.0,3,2.5,2740,11872,2.0,0.0,0.0,3,9,1990,98023,47.308,-122.395,10377,"(47.308, -122.395)",21.7825
247,181000.0,2,1.5,720,5120,1.0,0.0,0.0,3,6,1954,98106,47.522,-122.357,2566,"(47.522, -122.357)",6.9069
249,481000.0,3,1.75,1560,3000,1.0,0.0,0.0,4,6,1918,98103,47.685,-122.345,3000,"(47.685, -122.345)",4.3709
250,260000.0,3,2.0,1810,7209,1.0,0.0,0.0,4,7,1978,98032,47.366,-122.278,7209,"(47.366, -122.278)",18.0127
251,455000.0,4,2.5,3360,7685,2.0,0.0,0.0,3,9,2001,98058,47.437,-122.111,6567,"(47.437, -122.111)",17.009
252,415000.0,3,2.25,1510,36224,2.0,0.0,0.0,3,8,1991,98045,47.462,-121.711,36224,"(47.462, -121.711)",31.86
253,349500.0,3,1.0,1400,3538,1.0,0.0,0.0,3,7,1953,98118,47.541,-122.27,6331,"(47.541, -122.27)",6.7634
254,245000.0,3,2.5,1730,7442,2.0,0.0,0.0,3,7,1987,98030,47.351,-122.178,6458,"(47.351, -122.178)",20.3989
255,592500.0,2,2.0,1420,9191,1.5,0.0,2.0,5,7,1928,98115,47.698,-122.32,6816,"(47.698, -122.32)",5.461
256,385000.0,4,1.75,2360,7620,1.0,0.0,0.0,4,7,1955,98106,47.528,-122.345,7620,"(47.528, -122.345)",6.4954
257,315000.0,3,1.75,1580,11455,1.0,0.0,0.0,4,7,1974,98059,47.476,-122.147,10650,"(47.476, -122.147)",13.8835
261,237000.0,3,1.75,1270,8470,1.0,0.0,0.0,4,7,1960,98198,47.421,-122.29,8470,"(47.421, -122.29)",14.1763
262,525000.0,3,2.25,2100,40510,2.0,0.0,0.0,3,10,1979,98074,47.615,-122.047,33450,"(47.615, -122.047)",14.1989
263,425000.0,2,1.0,770,5040,1.0,0.0,0.0,3,5,1930,98144,47.596,-122.299,2580,"(47.596, -122.299)",3.0379
264,369900.0,1,0.75,760,10079,1.0,1.0,4.0,5,5,1936,98070,47.468,-122.438,14267,"(47.468, -122.438)",11.3697
